date,open,close
2011-12-30,12286.28,12217.56
2011-12-29,12152.32,12287.04
2011-12-28,12288.85,12151.41
2011-12-27,12293.47,12291.35
2011-12-23,12169.88,12294.0
2011-12-22,12107.59,12169.65
2011-12-21,12103.58,12107.74
2011-12-20,11769.21,12103.58
2011-12-19,11866.54,11766.26
2011-12-16,11870.25,11866.39
2011-12-15,11825.29,11868.81
2011-12-14,11949.72,11823.48
2011-12-13,12018.66,11954.94
2011-12-12,12181.08,12021.39
2011-12-09,11996.03,12184.26
2011-12-08,12195.91,11997.7
2011-12-07,12144.41,12196.37
2011-12-06,12097.75,12150.13
2011-12-05,12021.54,12097.83
2011-12-02,12022.37,12019.42
2011-12-01,12046.21,12020.03
2011-11-30,11559.27,12045.68
2011-11-29,11523.01,11555.63
2011-11-28,11232.47,11523.01
2011-11-25,11251.88,11231.65
2011-11-23,11492.74,11257.55
2011-11-22,11542.39,11493.72
2011-11-21,11795.55,11547.31
2011-11-18,11768.98,11796.16
2011-11-17,11905.67,11770.73
2011-11-16,12084.74,11905.59
2011-11-15,12077.92,12096.16
2011-11-14,12153.0,12078.98
2011-11-11,11896.28,12153.68
2011-11-10,11780.03,11893.86
2011-11-09,12166.4,11780.94
2011-11-08,12055.52,12170.18
2011-11-07,11983.02,12068.39
2011-11-04,12043.41,11983.24
2011-11-03,11835.59,12044.47
2011-11-02,11658.49,11836.04
2011-11-01,11951.53,11657.96
2011-10-31,12229.22,11955.01
2011-10-28,12207.34,12231.11
2011-10-27,11872.07,12208.55
2011-10-26,11707.76,11869.04
2011-10-25,11912.63,11706.62
2011-10-24,11807.96,11913.62
2011-10-21,11543.22,11808.79
2011-10-20,11502.13,11541.78
2011-10-19,11577.54,11504.62
2011-10-18,11396.17,11577.05
2011-10-17,11643.35,11397.0
2011-10-14,11478.97,11644.49
2011-10-13,11518.09,11478.13
2011-10-12,11417.36,11518.85
2011-10-11,11432.8,11416.3
2011-10-10,11104.56,11433.18
2011-10-07,11123.41,11103.12
2011-10-06,10939.87,11123.33
2011-10-05,10800.47,10939.95
2011-10-04,10651.44,10808.71
2011-10-03,10912.1,10655.3
2011-09-30,11152.32,10913.38
2011-09-29,11012.79,11153.98
2011-09-28,11189.1,11010.9
2011-09-27,11045.23,11190.69
2011-09-26,10771.78,11043.86
2011-09-23,10732.77,10771.48
2011-09-22,11121.89,10733.83
2011-09-21,11408.58,11124.84
2011-09-20,11401.47,11408.66
2011-09-19,11506.82,11401.01
2011-09-16,11433.71,11509.09
2011-09-15,11247.72,11433.18
2011-09-14,11106.83,11246.73
2011-09-13,11054.99,11105.85
2011-09-12,10990.01,11061.12
2011-09-09,11294.6,10992.13
2011-09-08,11414.86,11295.81
2011-09-07,11137.63,11414.86
2011-09-06,11237.31,11139.3
2011-09-02,11492.06,11240.26
2011-09-01,11613.3,11493.57
2011-08-31,11560.48,11613.53
2011-08-30,11532.13,11559.95
2011-08-29,11286.65,11539.25
2011-08-26,11149.82,11284.54
2011-08-25,11321.02,11149.82
2011-08-24,11175.78,11320.71
2011-08-23,10854.58,11176.76
2011-08-22,10820.37,10854.65
2011-08-19,10989.75,10817.65
2011-08-18,11406.27,10990.58
2011-08-17,11392.01,11410.21
2011-08-16,11480.48,11405.93
2011-08-15,11269.85,11482.9
2011-08-12,11143.46,11269.02
2011-08-11,10729.85,11143.31
2011-08-10,11228.0,10719.94
2011-08-09,10810.91,11239.77
2011-08-08,11433.93,10809.85
2011-08-05,11383.98,11444.61
2011-08-04,11893.86,11383.68
2011-08-03,11863.74,11896.44
2011-08-02,12129.77,11866.62
2011-08-01,12144.22,12132.49
2011-07-29,12239.36,12143.24
2011-07-28,12301.72,12240.11
2011-07-27,12498.42,12302.55
2011-07-26,12592.12,12501.3
2011-07-25,12679.72,12592.8
2011-07-22,12724.71,12681.16
2011-07-21,12567.07,12724.41
2011-07-20,12583.68,12571.91
2011-07-19,12386.03,12587.42
2011-07-18,12475.11,12385.16
2011-07-15,12437.12,12479.73
2011-07-14,12491.53,12437.12
2011-07-13,12447.33,12491.61
2011-07-12,12505.54,12446.88
2011-07-11,12655.62,12505.76
2011-07-08,12717.9,12657.2
2011-07-07,12627.23,12719.49
2011-07-06,12562.47,12626.02
2011-07-05,12569.87,12569.87
2011-07-01,12414.34,12582.77
2011-06-30,12262.25,12414.34
2011-06-29,12187.63,12261.42
2011-06-28,12043.56,12188.69
2011-06-27,11934.66,12043.56
2011-06-24,12049.24,11934.58
2011-06-23,12108.35,12050.0
